Respondent_ID,Timestamp,1. Which best describes you?,2. Which city do you currently live in?,3. Which UPI apps do you currently use?,4. Which UPI app do you use MOST?,5. Have you used Paytm UPI in the last 90 days?,6. Roughly how many UPI payments do you make in a typical week?,7. Where do you use UPI MOST often?,8. What is the BIGGEST reason you usually open your primary UPI app?,9. When are you MOST likely to use Paytm UPI?,10. What is the BIGGEST reason you do NOT use Paytm for more of your UPI payments?,11. In ONE sentence: what would make you use Paytm more?,12. Would you be open to a 15-minute follow-up conversation about your UPI habits?,Data_Quality_Flag,TrackA_Eligibility
VIRTUS_001,2026-09-11 21:47:39.354,College student,Noida,"Google Pay, Paytm, BHIM",Google Pay,Yes,8–15,"Food / cafés / restaurants, Bills / recharge, Subscriptions","Merchants commonly use it, I trust it more","Travel / transport, Payments to friends / family",Another app has better offers / rewards,na,No,Missing/placeholder Paytm opportunity,Track-A Eligible
VIRTUS_002,2026-09-11 21:53:37.619,College student,Bhopal,Paytm,Paytm,Yes,30+,"Food / cafés / restaurants, Shopping, Groceries",It is simply my habit / default,"Shopping / online purchases, Bills / recharge, Food / restaurants, Travel / transport, Payments to friends / family, High-value payments, When there is an offer / reward","I automatically use another app, Another app feels faster / easier, My friends / family are on another app, Merchants usually use another app, Another app has better offers / rewards",If it offers rewards,Yes,OK,Not Track-A Eligible
VIRTUS_003,2026-09-11 22:02:06.734,College student,Bhopal,"Google Pay, Paytm, BHIM, Super Money",Super Money,Yes,8–15,"Shopping, Travel / auto / cab, Friends / family","It is faster or easier, Merchants commonly use it","Shopping / online purchases, Travel / transport, Payments to friends / family, When there is an offer / reward","I automatically use another app, Merchants usually use another app, I trust another app more, I am not familiar with Paytm features, Nothing — I could use Paytm more",More Cashbacks,No,OK,Track-A Eligible
VIRTUS_004,2026-09-11 22:04:03.386,College student,Uttar Pradesh,Google Pay,Google Pay,Yes,1–3,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, College / education",It is faster or easier,"Shopping / online purchases, Food / restaurants, Travel / transport",I am not familiar with Paytm features,I'm not a paytm user,No,OK,Not Track-A Eligible
VIRTUS_005,2026-09-11 22:04:35.992,College student,Dehradun,Google Pay,Google Pay,Yes,1–3,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Online purchases, Subscriptions","It is simply my habit / default, Better offers / rewards, I trust it more, It feels more reliable, Better features / experience","Shopping / online purchases, Bills / recharge, Food / restaurants, Travel / transport, Payments to friends / family, High-value payments, When there is an offer / reward, I use Paytm randomly, with no specific occasion",Another app has better offers / rewards,Clean and simple UI with more rewards and offers,No,OK,Not Track-A Eligible
VIRTUS_006,2026-09-11 22:05:14.876,College student,Panipat,"PhonePe, Google Pay, Paytm, BHIM, Amazon Pay, Super Money, Slice",PhonePe,Yes,16–30,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, Online purchases, Rent, Subscriptions","It is simply my habit / default, It is faster or easier, My friends / family use it, Merchants commonly use it, Better offers / rewards, I trust it more, It feels more reliable, Better features / experience","I use Paytm randomly, with no specific occasion","I automatically use another app, Paytm does not give me a strong reason to switch",More cash back 🤑,Yes,OK,Track-A Eligible
VIRTUS_007,2026-09-11 22:06:02.357,Working professional,Sitapur,"PhonePe, Google Pay, Paytm, BHIM",Paytm,Yes,30+,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, Friends / family, College / education, Online purchases","Better offers / rewards, I trust it more, It feels more reliable, Better features / experience","Shopping / online purchases, Food / restaurants, Travel / transport, Payments to friends / family, High-value payments, When there is an offer / reward, I use Paytm randomly, with no specific occasion","I automatically use another app, Another app feels faster / easier, My friends / family are on another app, Another app has better offers / rewards, I trust another app more, Paytm does not give me a strong reason to switch, I am not familiar with Paytm features",Daily payment can manage very easy,Yes,OK,Not Track-A Eligible
VIRTUS_008,2026-09-11 22:07:09.294,College student,Lucknow,Google Pay,Google Pay,No,4–7,"Food / cafés / restaurants, Shopping, Groceries, Travel / auto / cab, Bills / recharge, College / education, Online purchases",It feels more reliable,"I use Paytm randomly, with no specific occasion",I automatically use another app,If it offered better cashback and rewards.,No,OK,Not Track-A Eligible
VIRTUS_009,2026-09-11 22:13:39.558,Working professional,Sitapur,Google Pay,Google Pay,No,1–3,Online purchases,It is simply my habit / default,I cannot think of a recent Paytm use,Nothing — I could use Paytm more,Na,No,Missing/placeholder Paytm opportunity,Not Track-A Eligible
VIRTUS_010,2026-09-11 22:13:41.760,College student,Sitapur,PhonePe,PhonePe,Yes,1–3,"Food / cafés / restaurants, Shopping, Bills / recharge",It is simply my habit / default,"Shopping / online purchases, Bills / recharge",I automatically use another app,Easly,Yes,OK,Not Track-A Eligible
